Student_ID,First_Name,Last_Name,Email,Major,Title,Number_of_Skills,Salary,Salary_Range,GPA,GPA_Range,Graduated,Algorithm Development,Creativity,AI Ethics and Governance,API Development,Curiosity,Project Management,Business Acumen,Communication,AI Frameworks and Libraries,IoT Integration,Cloud Computing,Programming Languages,Big Data Technologies,Ethical Considerations,Data Analysis,Computer Vision,Software Engineering Principles,Market Analysis,Adaptability,Data Visualization,Edge Computing,Natural Language Processing (NLP),Problem-Solving,Robotics,Database Management,Data Engineering,Model Training and Evaluation,ETL Processes,Deep Learning,DevOps,Presentation Skills,Collaboration,Machine Learning Algorithms,Leadership,Critical Thinking,Data Preprocessing,Data-Driven Decision Making,Attention to Detail,Programming,Salary_Binned
318348308,Amanda,Garcia,Amanda.Garcia000@mymdc.net,0,6,9,97962,0,3.5,2,True,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,90k-120k
394212503,Raymond,Fields,Raymond.Fields000@mymdc.net,0,6,30,88034,0,2.92,1,True,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,60k-90k
294952537,Melissa,Chambers,Melissa.Chambers000@mymdc.net,0,1,28,109776,0,3.23,2,True,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,90k-120k
108517214,Jessica,Morris,Jessica.Morris000@mymdc.net,0,3,33,90611,0,3.06,2,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,90k-120k
913578422,Manuel,Oneal,Manuel.Oneal000@mymdc.net,0,1,36,92581,0,3.19,2,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,90k-120k
787231606,Cody,Monroe,Cody.Monroe000@mymdc.net,0,1,26,91002,0,2.47,3,True,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,90k-120k
975875767,Dylan,Green,Dylan.Green000@mymdc.net,1,7,10,69273,1,3.17,2,True,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,60k-90k
394212503,Raymond,Fields,Raymond.Fields000@mymdc.net,0,6,30,88034,0,2.92,1,True,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,60k-90k
704714463,Brian,Brooks,Brian.Brooks000@mymdc.net,0,3,3,99803,0,2.2,3,True,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,90k-120k
937243952,Joshua,Anderson,Joshua.Anderson000@mymdc.net,0,1,5,82693,0,2.29,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,60k-90k
397236565,Linda,Branch,Linda.Branch000@mymdc.net,1,5,19,79253,1,2.98,1,True,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,60k-90k
914543261,Michael,Haynes,Michael.Haynes000@mymdc.net,1,4,34,82397,0,3.17,2,True,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,60k-90k
905371511,Lucas,Williams,Lucas.Williams000@mymdc.net,0,6,37,98771,0,3.21,2,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90k-120k
975875767,Dylan,Green,Dylan.Green000@mymdc.net,1,7,10,69273,1,3.17,2,True,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,60k-90k
771636322,Joan,Giles,Joan.Giles000@mymdc.net,0,0,28,97219,0,2.88,1,True,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,90k-120k
974888943,Rebecca,Soto,Rebecca.Soto000@mymdc.net,1,4,7,68601,1,3.52,0,True,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,60k-90k
996447810,Justin,Oconnor,Justin.Oconnor000@mymdc.net,0,1,32,93162,0,2.92,1,True,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,90k-120k
293487107,Levi,Duran,Levi.Duran000@mymdc.net,0,1,18,94321,0,2.14,3,True,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,90k-120k
447864323,Tara,Carroll,Tara.Carroll000@mymdc.net,0,0,11,91794,0,3.97,0,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,90k-120k
