Student_ID,First_Name,Last_Name,Email,Major,Title,Number_of_Skills,Salary,Salary_Range,GPA,GPA_Range,Graduated,Algorithm Development,Creativity,AI Ethics and Governance,API Development,Curiosity,Project Management,Business Acumen,Communication,AI Frameworks and Libraries,IoT Integration,Cloud Computing,Programming Languages,Big Data Technologies,Ethical Considerations,Data Analysis,Computer Vision,Software Engineering Principles,Market Analysis,Adaptability,Data Visualization,Edge Computing,Natural Language Processing (NLP),Problem-Solving,Robotics,Database Management,Data Engineering,Model Training and Evaluation,ETL Processes,Deep Learning,DevOps,Presentation Skills,Collaboration,Machine Learning Algorithms,Leadership,Critical Thinking,Data Preprocessing,Data-Driven Decision Making,Attention to Detail,Programming
630427513,Sarah,Murphy,Sarah.Murphy000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,12,30000,High,3.72,High,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446457407,Pamela,Sellers,Pamela.Sellers000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,21,30000,High,3,Low,FALSE,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937243952,Joshua,Anderson,Joshua.Anderson000@mymdc.net,Applied Artificial Intelligence,AI Engineer,5,82693,High,2.29,Very Low,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
250526321,Rachel,Mosley,Rachel.Mosley000@mymdc.net,Data Analytics,Operations Analyst,9,87657,High,3.44,Medium,TRUE,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
832949183,Colleen,Allen,Colleen.Allen000@mymdc.net,Data Analytics,Marketing Analyst,5,70020,Medium,2.56,Low,TRUE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
369164625,William,Wilson,William.Wilson000@mymdc.net,Data Analytics,Data Scientist,22,72510,Medium,3.03,Medium,TRUE,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0
944625643,Teresa,Neal,Teresa.Neal000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,28,30000,High,3.58,High,FALSE,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
886753510,Derek,Potter,Derek.Potter000@mymdc.net,Data Analytics,Marketing Analyst,10,83737,High,3.07,Medium,TRUE,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0
599722071,Michael,Reynolds,Michael.Reynolds000@mymdc.net,Data Analytics,Business Intelligence Analyst,24,30000,High,2.67,Low,FALSE,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
277963602,Kathryn,Parks,Kathryn.Parks000@mymdc.net,Data Analytics,Business Intelligence Analyst,32,30000,High,3.22,Medium,FALSE,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1
