Student_ID,First_Name,Last_Name,Email,Major,Title,Number_of_Skills,Salary,Salary_Range,GPA,GPA_Range,Graduated,Algorithm Development,Creativity,AI Ethics and Governance,API Development,Curiosity,Project Management,Business Acumen,Communication,AI Frameworks and Libraries,IoT Integration,Cloud Computing,Programming Languages,Big Data Technologies,Ethical Considerations,Data Analysis,Computer Vision,Software Engineering Principles,Market Analysis,Adaptability,Data Visualization,Edge Computing,Natural Language Processing (NLP),Problem-Solving,Robotics,Database Management,Data Engineering,Model Training and Evaluation,ETL Processes,Deep Learning,DevOps,Presentation Skills,Collaboration,Machine Learning Algorithms,Leadership,Critical Thinking,Data Preprocessing,Data-Driven Decision Making,Attention to Detail,Programming
526633149,Anthony,Perkins,Anthony.Perkins000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,12,30000,High,2.39,Very Low,False,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
706637046,Holly,Gray,Holly.Gray000@mymdc.net,Data Analytics,Data Analyst,35,76208,Medium,3.23,Medium,True,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
446416930,Laura,Potts,Laura.Potts000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,14,30000,High,2.88,Low,False,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0
479774265,Jennifer,Mills,Jennifer.Mills000@mymdc.net,Data Analytics,Data Scientist,12,30000,High,3.25,Medium,False,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
359227696,Gerald,Murphy,Gerald.Murphy000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,29,30000,High,2.34,Very Low,False,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
804241108,Robert,Olson,Robert.Olson000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,33,30000,High,2.05,Very Low,False,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
114196877,Kaitlyn,Bright,Kaitlyn.Bright000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,38,102545,High,3.18,Medium,True,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
519921441,Oscar,Perez,Oscar.Perez000@mymdc.net,Data Analytics,Marketing Analyst,12,92204,High,2.68,Low,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0
836309236,Lisa,Short,Lisa.Short000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,37,30000,High,3.26,Medium,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
289444203,Audrey,Barron,Audrey.Barron000@mymdc.net,Data Analytics,Operations Analyst,27,86702,High,2.82,Low,True,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
443506707,Susan,Santana,Susan.Santana000@mymdc.net,Data Analytics,Business Intelligence Analyst,8,86153,High,3.06,Medium,True,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
